author_last_name, authors, title
Hemingway, Ernest Hemingway, A Movable Feast
Woolf, Virginia Woolf, Mrs. Dalloway
Nordhoff, Charles Nordhoff and James Norman Hall, Mutiny on the Bounty
Hersh, Seymour M. Hersh, My Lai 4: A Report on the Massacre and Its Aftermath
Mencken, H.L. Mencken, My Life as Author and Editor
Guest, Tim Guest, My Life in Orange: Growing up with the Guru
Waldo, Myra Waldo, Myra Waldo’s Travel and Motoring Guide to Europe
Picoult, Jodi Picoult, My Sister’s Keeper
Knausgaard, Karl Ove Knausgaard, My Struggle
Mailer, Norman Mailer, The Naked and the Dead
Burroughs, William S. Burroughs, Naked Lunch
Eco, Umberto Eco, The Name of the Rose
Lahiri, Jhumpa Lahiri, The Namesake
Keene, Carolyn Keene, Nancy Drew and the Witch Tree Symbol
Mclaughlin, Emma Mclaughlin, The Nanny Diaries
Jensen, Jan Lars Jensen, "Nervous System: Or, Losing My Mind in Literature"
Dickinson, Emily Dickinson, New Poems of Emily Dickinson
Macaulay, David Macaulay, The New Way Things Work
Ehrenreich, Barbara Ehrenreich, Nickel and Dimed: On (Not) Getting by in America
Dickens, Charles Dickens, Nicholas Nickleby
Wiesel, Elie Wiesel, Night
Austen, Jane Austen, Northanger Abbey
Williams, "Jeffrey J. Williams, et al.", The Norton Anthology of Theory and Criticism edited
Bukowski, Charles Bukowski, Notes of A Dirty Old Man
Powell, Dawn Powell, "Novels, 1930–1942: Dance Night/Come Back to Sorrento, Turn, Magic Wheel/Angels on Toast/A Time to Be Born"
Sophicles, Sophicles, Oedipus Rex
Steinbeck, John Steinbeck, Of Mice and Men
Wolff, Tobias Wolff, Old School
Dickens, Charles Dickens, Oliver Twist
Solzhenitsyn, Aleksandr Solzhenitsyn, One Day in the Life of Ivan Denisovich
Kesey, Ken Kesey, One Flew over the Cuckoo’s Nest
Marquez, Gabriel Garcia Marquez, One Hundred Years of Solitude
Kerouac, Jack Kerouac, On the Road
Tan, Amy Tan, The Opposite of Fate: Memories of A Writing Life
Auster, Paul Auster, Oracle Night
Atwood, Margaret Atwood, Oryx and Crake
Shakespeare, William Shakespeare, Othello
Dickens, Charles Dickens, Our Mutual Friend
Kagan, Donald Kagan, The Outbreak of the Peloponnesian War
Dineson, Isak Dineson, Out of Africa
Hinton, S.E. Hinton, The Outsiders
Forster, E.M. Forster, A Passage to India
Kagan, Donald Kagan, The Peace of Nicias and the Sicilian Expedition
Chbosky, Stephen Chbosky, The Perks of Being a Wallflower
Metalious, Grace Metalious, Peyton Place
Wilde, Oscar Wilde, The Picture of Dorian Gray
Huffington, Arianna Huffington, Pigs at the Trough
Collodi, Carlo Collodi, Pinocchio
McNeil, Legs McNeil and Gillian McCain, Please Kill Me: The Uncensored Oral History of Punk
Hornby, Nick Hornby, The Polysyllabic Spree
Parker, Dorothy Parker, The Portable Dorothy Parker
Nietzsche, Fredrich Nietzsche, The Portable Nietzsche
Suskind, Ron Suskind, "The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O’Neill"
Austen, Jane Austen, Pride and Prejudice
Klein, Joe Klein, Primary Colors
Martin, Valerie Martin, Property
Wolfe, Tom Wolfe, The Pump House Gang
Mitford, Nancy Mitford, The Pursuit of Love & Love in a Cold Climate: Two Novels
Binyon, T.J. Binyon, Pushkin: A Biography
Shaw, George Bernard Shaw, Pygmalion
Mckean, James Mckean, Quattrocento
Hall, Rachel Howzell Hall, A Quiet Storm
Grimm, Brothers Grimm, Rapunzel
Poe, Edgar Allan Poe, “The Raven”
Maugham, W. Somerset Maugham, The Razor’s Edge
Nafisi, Azar Nafisi, Reading Lolita in Tehran: A Memoir in Books
Maurier, Daphne Du Maurier, Rebecca
Wiggin, Kate Douglas Wiggin, Rebecca of Sunnybrook Farm
Crane, Stephen Crane, The Red Badge of Courage
Diamant, Anita Diamant, The Red Tent
Holman, Virginia Holman, Rescuing Patty Hearst: Memories from a Decade Gone Mad
Tolkien, J.R.R. Tolkien, The Return of the King
Steinem, Gloria Steinem, Revolution from Within: A Book of Self-Esteem
Shakespeare, William Shakespeare, Richard III
Grafton, Sue Grafton, R Is for Ricochet
King, Stephen King, Rita Hayworth
Robert, Henry Robert, Robert’s Rules of Order
Wharton, Edith Wharton, Roman Fever
Shakespeare, William Shakespeare, Romeo and Juliet
Woolf, Virginia Woolf, A Room of One’s Own
Forster, E.M. Forster, A Room with a View
Levin, Ira Levin, Rosemary’s Baby
The Rough Guide to Europe
Hegi, Ursula Hegi, Sacred Time
Faulkner, William Faulkner, Sanctuary
Rushdie, Salman Rushdie, The Satanic Verses
Milford, Nancy Milford, Savage Beauty: The Life of Edna St. Vincent Millay
Baum, Frank L. Baum, The Scarecrow of Oz
Hawthorne, Nathaniel Hawthorne, The Scarlet Letter
Hillenbrand, Laura Hillenbrand, Seabiscuit: An American Legend
Beauvoir, Simone De Beauvoir, The Second Sex
Kidd, Sue Monk Kidd, The Secret Life of Bees
Thurman, Judith Thurman, Secrets of the Flesh: A Life of Colette
Powell, Dawn Powell, Selected Letters of Dawn Powell: 1913–1965
Austen, Jane Austen, Sense and Sensibility
Knowles, John Knowles, A Separate Peace
Miller, Henry Miller, Sexus
